Site,Mean depth (cm),Flow@06D (m/s),Mean substrate (mm),Silt/clay (proportion),Fine&medium sand (proportion),Coarse sand (proportion),Sand (proportion),Sand+Finegravel (proportion),Fine gravel (proportion),Coarse (proportion),Turbidity (cm)
1,84.33333333,0.052222222,70.00680556,0,0,0,0,0,0,0.777777778,53
2,74.4,0.124666667,77,0,0,0,0,0,0,1,54
3,76.46666667,0.254666667,99.86666667,0,0,0,0,0,0,1,58
4,85.75,0.22125,95.125,0,0,0,0,0,0,1,100
5,88.44444444,0.138888889,0.222138889,0,0.888888889,0,0.888888889,0.888888889,0,0,59
6,100.0833333,0.184166667,0.359375,0,0.916666667,0.083333333,1,1,0,0,50
7,87.33333333,0.147777778,0.593736111,0,0.333333333,0.666666667,1,1,0,0,63
8,36.06666667,0.125333333,30.8104,0,0.066666667,0.066666667,0.133333333,0.2,0.066666667,0.733333333,72
9,49.66666667,0.64,47,0,0,0,0,0,0,1,67
10,40.46666667,0.465333333,25.53333333,0,0,0,0,0,0,1,60
11,78,0.194666667,23.9437,0,0.4,0,0.4,0.4,0,0.533333333,88
12,89.27272727,0.117272727,26.26413636,0,0.090909091,0.090909091,0.181818182,0.181818182,0,0.636363636,110
13,64.22222222,0.057777778,0.270833333,0,1,0,1,1,0,0,102
14,90.4,0.403333333,14.4875,0,0.333333333,0,0.333333333,0.333333333,0,0.666666667,94
15,73.66666667,0.361333333,15.16666667,0,0.2,0.066666667,0.266666667,0.266666667,0,0.733333333,97
16,48.8,0.452666667,29.66666667,0,0,0,0,0.066666667,0.066666667,0.933333333,97
17,94.2,0.191333333,21.24998333,0,0.266666667,0,0.266666667,0.333333333,0.066666667,0.666666667,100
18,70.2,0.253333333,95.53741667,0,0,0,0,0.066666667,0.066666667,0.8,94
19,97.85714286,0.441428571,51.42857143,0,0,0,0,0,0,1,70
20,89.88888889,0.454444444,55,0,0,0,0,0,0,1,32
21,73.88888889,0.172222222,0.229138889,0,1,0,1,1,0,0,98
22,75,0.216,11.8,0,0,0,0.066666667,0.266666667,0.2,0.733333333,100
23,75.33333333,0.055833333,55.83333333,0,0,0,0,0,0,1,96
24,76.25,0.160833333,7.53384375,0,0.333333333,0.083333333,0.416666667,0.5,0.083333333,0.5,103
25,82.2,0.082666667,18.17491667,0,0.133333333,0,0.133333333,0.2,0.066666667,0.666666667,99
26,85.61538462,0.030769231,37.15620192,0,0,0,0,0.384615385,0.384615385,0.538461538,99
27,98.6,0.356,28,0,0,0,0,0,0,1,46
28,83.93333333,0.324,18.07916667,0,0.066666667,0,0.066666667,0.266666667,0.2,0.733333333,42
29,61.26666667,0.340666667,16.25,0,0,0.066666667,0.066666667,0.466666667,0.4,0.533333333,45
30,100.6666667,0.399166667,53,0,0,0,0,0,0,1,38
31,73.66666667,0.493333333,22.5,0,0,0,0,0,0,1,37
